,name,longitude,region_id,legacy_id,capacity,latitude,short_name
504,Oxon Hill Park & Ride,-77.00103,133,537,15,38.798749,32407
505,11th & Park Rd NW,-77.02824711799622,42,538,19,38.93132185874559,31651
506,4th & M St SE,-77.000736,42,539,19,38.876751,31652
507,Kansas Ave & Sherman Cr NW,-77.02154964208603,42,540,19,38.94796174822241,31417
508,Campus Commons,-77.335425,104,541,11,38.944707,32228
509,Park Run & Onyx Dr,-77.226644,104,542,11,38.92755,32229
510,7th & K St NW,-77.021392,42,543,19,38.902674,31653
511,King Greenleaf Rec Center,-77.012443,42,544,19,38.876211,31654
512,Montello Ave & Holbrook Terr NE,-76.986813,42,545,19,38.907444,31524
513,New Jersey Ave & F St NW,-77.011616,42,546,33,38.897108,31655
514,Maryland Ave & 17th St NE,-76.978627,42,547,19,38.901935,31656
515,Massachusetts Ave & 6th St NE,-76.998273,42,548,19,38.892934,31657
516,Woodley Park Metro / Calvert St & Connecticut Ave NW,-77.051833,42,549,23,38.923389,31323
